"","business_id","Score","name","longitude","latitude"
"398",2359,90,"LA TRAVIATA",-122.418414,37.751296
"399",2360,92,"LA TAQUERIA",-122.418286,37.750855
"400",2369,90,"CLOONEY'S",-122.420456,37.750374
"401",2375,96,"FLY",-122.438097,37.776707
"402",2384,90,"TWO JACKS SEAFOOD",-122.428997,37.772274
"403",2385,96,"CAFE INTERNATIONAL",-122.430814,37.772097
"404",2406,76,"THEP-PHANON RESTAURANT",-122.430299,37.77124
"405",2409,94,"Mission Hunan Restaurant",-122.419026,37.765142
"406",2426,94,"BOOGALOOS",-122.420652,37.755357
"407",2427,88,"TAQUERIA EL FAROLITO #3",-122.411122,37.752728
"408",2433,98,"PUERTO ALEGRE NO. 2",-122.409162,37.751208
"409",2453,96,"KENNY'S RESTAURANT",-122.417529,37.764851
"410",2455,98,"MUDDY WATERS",-122.421815,37.764484
"411",2463,94,"Blossom Bakery",-122.406944,37.794723
"412",2469,94,"Okoze Sushi",-122.419317,37.799143
"413",2472,96,"Starbucks",-122.432784,37.783505
"414",2475,91,"Fattoush Restaurant",-122.427165,37.749015
"415",2483,96,"CAFE UNION",-122.429504,37.797878
"416",2497,98,"PLUTO'S",-122.441041,37.799796
"417",2507,96,"ALEGRIAS",-122.434714,37.800048
"418",2517,90,"NOAH'S NEW YORK BAGELS #2127",-122.434104,37.790124
"419",2519,94,"PACIFIC PLAZA CAFE",-122.423218,37.786864
"420",2521,96,"LOVEJOY'S TEAROOM & ANTIQUES",-122.427176,37.749154
"421",2523,100,"VENICE PIZZA AND RESTAURANT",-122.442007,37.715315
"422",2538,94,"KATES KITCHEN",-122.429927,37.772163
"423",2542,84,"PETER D'S RESTAURANT",-122.423585,37.795993
"424",2553,92,"Its Tops Coffee Shop",-122.423802,37.771497
"425",2555,92,"EXTREME PIZZA",-122.431883,37.797578
"426",2559,73,"HAI'S RESTAURANT",-122.415804,37.782953
"427",2561,100,"ANANDA FUARA",-122.415969,37.777824
"428",2578,94,"Starbucks Coffee Co",-122.401864,37.802545
"429",2588,100,"The Clift Hotel (Cafeteria)",-122.411136,37.786974
"430",2589,94,"Dojima-Ann",-122.408357,37.786363
